name,calories,protein,carbohydrates,fiber,fat,sugar,sodium,serving_size,single_unit_size,unit,unit_to_gm
Almonds,579,21.2,21.6,12.5,49.9,4.4,1,30,1,unit,1.2
Badam,579,21.2,21.6,12.5,49.9,4.4,1,30,1,unit,1.2
Cashews,553,18.2,30.2,3.3,43.9,5.9,12,30,1,unit,1.4
Kaju,553,18.2,30.2,3.3,43.9,5.9,12,30,1,unit,1.4
Walnuts,654,15.2,13.7,6.7,65.2,2.6,2,30,1,unit,2.5
Akhrot,654,15.2,13.7,6.7,65.2,2.6,2,30,1,unit,2.5
Pistachios,560,20.2,27.2,10.3,45.3,7.6,1,30,1,unit,1.3
Pista,560,20.2,27.2,10.3,45.3,7.6,1,30,1,unit,1.3
Raisins,299,3.1,79.2,3.7,0.5,59.2,11,30,1,unit,0.5
Kishmish,299,3.1,79.2,3.7,0.5,59.2,11,30,1,unit,0.5
Black Raisins,296,2.9,78.0,4.3,0.3,61.3,10,30,1,unit,0.5
Green Raisins,301,3.2,80.0,3.5,0.4,58.1,9,30,1,unit,0.5
Dried Figs,249,3.3,63.9,9.8,0.9,47.9,10,30,1,unit,10
Anjeer,249,3.3,63.9,9.8,0.9,47.9,10,30,1,unit,10
Dates,282,2.5,75.0,8.0,0.4,63.4,1,30,1,unit,8
Khajoor,282,2.5,75.0,8.0,0.4,63.4,1,30,1,unit,8
dried Apricots,241,3.4,62.6,7.3,0.5,53.4,10,30,1,unit,8
Khubani,241,3.4,62.6,7.3,0.5,53.4,10,30,1,unit,8
Prunes,240,2.2,63.9,7.1,0.4,38.1,2,30,1,unit,8
Chilgoza,673,13.7,13.1,3.7,68.4,3.6,2,30,1,unit,0.8
Brazil Nuts,659,14.3,11.7,7.5,67.1,2.3,3,30,1,unit,4.5
Hazelnuts,628,14.1,16.7,9.7,60.8,4.3,0,30,1,unit,1.1
Macadamia Nuts,718,7.9,13.8,8.6,75.8,4.6,2,30,1,unit,2.5
Fox Nuts,347,9.7,77.0,7.6,0.1,0.5,4,30,1,unit,1.3
Makhana,347,9.7,77.0,7.6,0.1,0.5,4,30,1,unit,1.3
Dry Coconut,660,6.9,23.6,16.3,64.5,7.3,37,30,1,unit,10
Copra,660,6.9,23.6,16.3,64.5,7.3,37,30,1,unit,10
Dry Amla,320,3.5,75.0,12.0,0.5,58.0,1,30,1,unit,2.5
Goji Berries,349,14.3,77.1,13.0,0.4,45.6,7,30,1,unit,1.2
Mulberrie,335,10.0,74.6,12.5,2.6,38.5,10,30,1,unit,1.2
Sun-Dried Banana Chips,519,2.3,58.4,4.5,33.6,35.0,4,30,1,unit,5
Pumpkin Seeds,559,30.2,10.7,6.0,49.1,1.3,7,30,0.05,unit,0.05
Sunflower Seeds,584,20.8,20.0,8.6,51.5,2.6,3,30,0.05,unit,0.05
Flaxseeds,534,18.3,28.9,27.3,42.2,1.6,30,30,0.05,unit,0.05
Chia Seeds,486,16.5,42.1,34.4,30.7,0.0,19,30,0.03,unit,0.03
Sesame Seeds,573,17.7,23.5,11.8,49.7,0.3,11,30,0.02,unit,0.02
Til,573,17.7,23.5,11.8,49.7,0.3,11,30,0.02,unit,0.02
Watermelon Seeds,557,28.3,15.3,3.0,47.4,0.2,99,30,0.05,unit,0.05
Basil Seeds,480,19.6,43.0,37.0,24.0,0.2,14,30,0.02,unit,0.02
Hemp Seeds,553,31.6,8.7,4.0,48.8,1.5,5,30,0.05,unit,0.05
Pine Nuts,673,13.7,13.1,3.7,68.4,3.6,2,30,1,unit,0.8
Lotus Seeds,347,9.7,77.0,7.6,0.1,0.5,4,30,1,unit,1.3
dried Edamame,446,40.0,30.0,20.0,20.0,7.0,2,30,1,unit,1.0
dried Acorns ,387,6.2,40.7,10.4,23.9,1.3,0,30,1,unit,2.5
dried Chestnuts,369,3.4,80.0,5.0,3.0,10.6,2,30,1,unit,5.0
Cedar Nuts,628,12.0,9.3,6.0,62.7,1.0,1,30,1,unit,0.8
