name,calories,protein,carbohydrates,fiber,fat,sugar,sodium,serving_size,single_unit_size,unit,unit_to_gm
Coca-Cola,42,0,10.6,0,0,10.6,0,200,200,ml,1.03
Pepsi,42,0,10.7,0,0,10.7,0,200,200,ml,1.03
Thums Up,44,0,11.0,0,0,11.0,0,200,200,ml,1.03
Sprite,39,0,10.1,0,0,10.1,0,200,200,ml,1.02
7 Up,38,0,9.9,0,0,9.9,0,200,200,ml,1.02
Fanta,45,0,11.5,0,0,11.5,0,200,200,ml,1.03
Mirinda,46,0,11.8,0,0,11.8,0,200,200,ml,1.03
Limca,43,0,11.0,0,0,11.0,0,200,200,ml,1.03
Appy Fizz,47,0,11.7,0,0,11.7,0,200,200,ml,1.04
Bovonto,44,0,11.0,0,0,11.0,0,200,200,ml,1.03
Bovonto Grape,46,0,11.4,0,0,11.3,0.1,200,200,ml,1.04
RC Cola,42,0,10.6,0,0,10.6,0,200,200,ml,1.03
Campa Cola,44,0,11.2,0,0,11.2,0,200,200,ml,1.03
Mountain Dew,46,0,12.3,0,0,12.3,0,200,200,ml,1.04
Gold Spot,45,0,11.5,0,0,11.5,0,200,200,ml,1.03
Citra,38,0,9.8,0,0,9.8,0,200,200,ml,1.02
Sosyo,48,0,12.2,0,0,12.2,0,200,200,ml,1.03
Rio Sparkling,55,0,13.5,0.2,0,13.0,0.1,200,200,ml,1.05
Jeeru (Cumin-based),35,0,9.0,0.2,0.1,8.8,0.1,200,200,ml,1.02
Catch Masala Soda,22,0,5.6,0.3,0.1,5.4,0.1,200,200,ml,1.03
B-Fizz,45,0,11.0,0,0,11.0,0,200,200,ml,1.03
Paper Boat Jaljeera,27,0.2,6.8,0.2,0,6.5,0.1,200,200,ml,1.03
Paper Boat Neembu Pani,25,0.1,6.5,0.1,0,6.3,0.1,200,200,ml,1.02
Paper Boat Kokum,37,0.1,9.2,0.3,0.1,8.8,0.1,200,200,ml,1.02
Red Bull,45,0.4,11.0,0,0,10.9,0.2,200,200,ml,1.03
Monster Energy,47,0.5,12.0,0,0,11.5,0.5,200,200,ml,1.04
Sting Energy Drink,52,0.3,13.0,0,0,12.7,0.3,200,200,ml,1.04
Orange Juice,45,0.7,10.4,0.2,0.1,8.4,1,200,200,ml,1.04
Sweet Lime Juice,43,0.6,10.2,0.3,0.1,8.1,1,200,200,ml,1.04
Pomegranate Juice,54,0.3,13.1,0.2,0.1,12.6,2,200,200,ml,1.05
Apple Juice,46,0.1,11.0,0.2,0.1,10.3,4,200,200,ml,1.05
Pineapple Juice,53,0.4,12.8,0.2,0.1,10.9,1,200,200,ml,1.05
Mango Juice,60,0.4,14.9,0.7,0.2,13.3,3,200,200,ml,1.06
Aamras,60,0.4,14.9,0.7,0.2,13.3,3,200,200,ml,1.06
Watermelon Juice,30,0.3,7.5,0.1,0.1,6.0,2,200,200,ml,1.03
Papaya Juice,38,0.5,9.0,0.3,0.2,6.5,3,200,200,ml,1.05
Guava Juice,62,0.8,14.7,0.6,0.3,12.5,5,200,200,ml,1.06
Grapes Juice,68,0.6,16.0,0.3,0.2,15.0,3,200,200,ml,1.06
Lemon Juice,22,0.3,6.5,0.3,0.1,2.5,1,200,200,ml,1.03
Banana Juice,70,0.8,17.5,0.6,0.3,12.0,2,200,200,ml,1.06
Muskmelon Juice,34,0.6,8.4,0.2,0.1,7.1,4,200,200,ml,1.03
Cantaloupe Juice,35,0.7,8.6,0.2,0.1,6.8,3,200,200,ml,1.03
Pear Juice,46,0.3,11.1,0.3,0.1,10.2,1,200,200,ml,1.05
Peach Juice,40,0.5,10.0,0.4,0.1,8.7,1,200,200,ml,1.05
Plum Juice,45,0.6,11.3,0.5,0.2,10.0,2,200,200,ml,1.05
Litchi Juice,60,0.3,16.5,0.4,0.2,15.2,1,200,200,ml,1.06
Kiwi Juice,52,0.8,12.5,0.5,0.4,10.5,4,200,200,ml,1.06
Strawberry Juice,32,0.5,7.2,0.4,0.1,5.6,1,200,200,ml,1.04
Coconut Water,19,0.2,4.0,0.2,0.0,3.8,40,200,200,ml,1.02
Mixed Fruit Juice,55,0.6,13.2,0.5,0.2,12.0,5,200,200,ml,1.05
Amla Juice,30,0.8,7.0,1.0,0.2,3.5,6,200,200,ml,1.04
Bel Juice,88,0.5,20.5,1.8,0.3,15.4,8,200,200,ml,1.07
Wood Apple Juice,88,0.5,20.5,1.8,0.3,15.4,8,200,200,ml,1.07
Jamun Juice,44,0.6,10.5,0.7,0.2,9.3,1,200,200,ml,1.05
Bael Juice,85,0.4,19.8,1.5,0.2,16.2,6,200,200,ml,1.07
Phalsa Juice,42,0.6,9.8,0.5,0.1,8.5,2,200,200,ml,1.04
Kokum Juice,30,0.4,7.2,0.6,0.1,5.3,3,200,200,ml,1.04
Tamarind Juice,80,0.6,21.0,1.2,0.2,17.5,10,200,200,ml,1.08
Rose Apple Juice,30,0.3,7.5,0.4,0.1,6.1,2,200,200,ml,1.04
Passion Fruit Juice,55,0.7,13.0,1.2,0.3,11.5,4,200,200,ml,1.05
Karonda Juice,45,0.6,11.5,0.8,0.2,9.4,3,200,200,ml,1.05
Mulberry Juice,40,0.7,9.5,0.6,0.2,8.0,4,200,200,ml,1.04
Ice Apple Juice,30,0.4,7.0,0.4,0.1,5.5,2,200,200,ml,1.03
Starfruit Juice,28,0.5,6.3,0.6,0.2,4.8,2,200,200,ml,1.03
Fig Juice,60,0.8,14.2,1.1,0.2,11.9,3,200,200,ml,1.06
Chikoo Juice,70,0.6,17.0,1.0,0.4,15.5,5,200,200,ml,1.06
Rambutan Juice,58,0.5,13.7,0.5,0.2,12.0,3,200,200,ml,1.06
Durian Juice,130,1.2,30.0,1.5,3.5,25.0,6,200,200,ml,1.07
Custard Apple Juice,85,0.7,20.0,0.9,0.4,18.0,5,200,200,ml,1.07
Sugarcane Juice,67,0.2,16.3,0.2,0.0,15.6,17,200,200,ml,1.06
Tropicana Orange Juice,46,0.6,11.2,0.2,0.1,9.6,0.5,200,200,ml,1.04
Tropicana Mango Juice,61,0.4,15.0,0.6,0.2,13.5,0.8,200,200,ml,1.06
Tropicana Apple Juice,47,0.2,11.4,0.1,0.1,10.8,0.3,200,200,ml,1.05
Tropicana Mixed Fruit Juice,54,0.3,13.2,0.4,0.1,12.2,0.5,200,200,ml,1.05
Tropicana Guava Juice,67,0.7,15.5,1.1,0.3,13.0,2.5,200,200,ml,1.07
Tropicana Pomegranate Juice,60,0.4,14.2,0.3,0.2,13.4,1.0,200,200,ml,1.06
Real Orange Juice,44,0.5,10.7,0.3,0.1,9.0,0.4,200,200,ml,1.04
Real Mango Juice,66,0.3,15.8,0.5,0.2,14.2,0.6,200,200,ml,1.06
Real Mixed Fruit Juice,52,0.4,12.8,0.4,0.1,11.5,0.7,200,200,ml,1.05
Real Guava Juice,70,0.8,16.0,1.2,0.3,14.0,2.4,200,200,ml,1.07
Real Litchi Juice,63,0.3,15.2,0.2,0.1,13.9,0.3,200,200,ml,1.06
Real Pineapple Juice,55,0.4,13.0,0.3,0.1,11.8,0.9,200,200,ml,1.05
B Natural Orange Juice,44,0.6,10.5,0.3,0.1,8.9,0.5,200,200,ml,1.04
B Natural Mango Juice,62,0.4,15.0,0.6,0.2,13.2,0.7,200,200,ml,1.06
B Natural Guava Juice,68,0.9,16.2,1.0,0.3,14.2,2.6,200,200,ml,1.08
B Natural Pomegranate Juice,66,0.5,14.8,0.4,0.2,13.9,1.5,200,200,ml,1.06
B Natural Mixed Fruit Juice,58,0.4,13.9,0.5,0.2,12.8,0.9,200,200,ml,1.06
Minute Maid Orange Juice,45,0.5,11.0,0.2,0.1,9.3,0.5,200,200,ml,1.04
Minute Maid Mango Juice,60,0.3,14.8,0.4,0.2,13.2,0.8,200,200,ml,1.06
Minute Maid Guava Juice,66,0.8,15.5,1.0,0.3,13.5,2.4,200,200,ml,1.08
Minute Maid Litchi Juice,63,0.3,15.0,0.2,0.1,13.8,0.7,200,200,ml,1.06
Minute Maid Mixed Fruit Juice,56,0.5,13.0,0.3,0.2,12.0,0.9,200,200,ml,1.06
Paper Boat Aamras,72,0.3,17.6,0.4,0.1,16.3,0.3,200,200,ml,1.06
Paper Boat Pomegranate Juice,61,0.3,14.4,0.3,0.1,13.2,0.6,200,200,ml,1.06
Paper Boat Anaar Juice,60,0.4,14.2,0.3,0.1,13.1,0.7,200,200,ml,1.06
Paper Boat Aam Panna,38,0.4,9.0,0.4,0.1,7.5,1.0,200,200,ml,1.04
Paper Boat Jaljeera,30,0.2,7.5,0.2,0.0,6.8,1.2,200,200,ml,1.03
Real Active Coconut Water,19,0.2,4.5,0.2,0.0,3.9,0.1,200,200,ml,1.00
Raw Pressery Valencia Orange,40,0.5,10.0,0.2,0.1,8.7,0.4,200,200,ml,1.04
Raw Pressery Mango,68,0.4,16.5,0.5,0.2,15.1,0.7,200,200,ml,1.06
Raw Pressery Pineapple,52,0.4,12.5,0.3,0.1,11.0,0.6,200,200,ml,1.05
Storia Mango Shake,90,1.8,18.0,0.5,1.5,14.0,0.8,200,200,ml,1.06
Cavin’s Mango Juice,66,0.3,15.7,0.4,0.1,14.2,0.5,200,200,ml,1.06
Frooti,68,0.2,16.5,0.2,0.1,15.3,0.2,200,200,ml,1.06
Maaza,70,0.3,17.0,0.2,0.1,15.8,0.2,200,200,ml,1.06
Slice,72,0.3,17.5,0.2,0.1,16.2,0.3,200,200,ml,1.06
Appy Fizz ,48,0.1,11.8,0.1,0.0,11.4,0.2,200,200,ml,1.05
