name,calories,protein,carbohydrates,fiber,fat,sugar,sodium,serving_size,single_unit_size,unit,unit_to_gm
Mango,60,0.8,15,1.6,0.4,13.7,1,200,200,unit,200
Banana,89,1.1,22.8,2.6,0.3,12.2,1,120,120,unit,120
Guava,68,2.6,14.3,5.4,0.9,8.9,2,250,250,unit,250
Papaya,43,0.5,10.8,1.7,0.3,7.8,8,275,275,unit,275
Apple,52,0.3,13.8,2.4,0.2,10.4,1,180,180,unit,180
Orange,47,0.9,11.8,2.4,0.1,9.4,0,130,130,unit,130
Sapota,83,0.4,20,5.3,1.1,14.7,12,150,150,unit,150
Pomegranate,83,1.7,19,4,1.2,13.7,3,200,200,unit,200
Watermelon,30,0.6,7.6,0.4,0.2,6.2,1,280,280,unit,280
Grapes,69,0.7,18.1,0.9,0.2,15.5,2,150,5,unit,5
Custard Apple,94,2.1,23.6,4.4,0.3,18,9,150,150,unit,150
Lychee,66,0.8,16.5,1.3,0.4,15.2,1,130,10,unit,10
Jackfruit,95,1.7,23.5,1.5,0.6,19.1,2,165,165,unit,165
Jamun,60,0.7,14,0.6,0.2,13,1,100,5,unit,5
Amla,44,1,10.2,4.3,0.6,0.5,0,40,40,unit,40
Pear,57,0.4,15.2,3.1,0.1,9.8,1,170,170,unit,170
Peach,39,0.9,9.5,1.5,0.3,8.4,0,150,150,unit,150
Plum,46,0.7,11.4,1.4,0.3,9.9,0,70,70,unit,70
Kiwi,61,1.1,14.7,3,0.5,9,3,75,75,unit,75
Muskmelon,34,0.8,8.2,0.9,0.2,7.9,16,150,150,unit,150
Starfruit,31,1,6.7,2.8,0.3,3.9,2,90,90,unit,90
Bael,137,1.8,31.8,2.9,0.3,18.5,6,250,250,unit,250
Wood Apple,140,1.9,32,3,0.2,24,8,250,250,unit,250
Karonda,60,1.1,14,2.3,0.6,8,3,100,10,unit,10
Ber,74,0.8,17,2.6,0.2,12,5,100,20,unit,20
Figs,74,0.8,19.2,2.9,0.3,16.3,1,50,50,unit,50
Mulberries,43,1.4,9.8,1.7,0.4,8.1,10,100,10,unit,10
Rambutan,68,0.9,16.5,0.9,0.2,13.2,5,120,30,unit,30
Tamarind,239,2.8,62.5,5.1,0.6,38.8,28,20,20,unit,20
Dates,277,1.8,75,6.7,0.2,63.4,1,8,8,unit,8
Persimmon,70,0.6,18.6,3.6,0.2,12.5,1,170,170,unit,170
Jamrul,25,0.6,5.7,1,0.3,4.9,1,100,100,unit,100
Water Apple,25,0.6,5.7,1,0.3,4.9,0.6,100,100,unit,100
Phalsa,45,0.9,10.5,1.4,0.2,9.3,0.9,50,5,unit,5
Loquat,47,0.4,12.1,1.7,0.2,6.2,0.4,50,50,unit,50
Langsat,57,1,14.2,2.3,0.2,9.2,1,75,25,unit,25
Mangosteen,73,0.4,17.9,1.8,0.6,16,0.4,60,60,unit,60
Passionfruit,97,2.2,23.4,10.4,0.4,11.2,2.2,18,18,unit,18
Santol,88,1,21,2.3,0.5,15,1,120,120,unit,120
Rose Apple,25,0.6,5.5,1,0.3,4.5,0.6,90,90,unit,90
Chomphu,25,0.6,5.5,1,0.3,4.5,0.6,90,90,unit,90
Nungu,43,0.5,10.5,1.3,0.2,8.5,0.5,100,100,unit,100
Ice Apple,43,0.5,10.5,1.3,0.2,8.5,0.5,100,100,unit,100
Coconut,354,3.3,15.2,9,33.5,6.2,3.3,80,80,unit,80
Strawberry,32,0.7,7.7,2,0.3,4.9,0.7,12,12,unit,12
Blueberry,57,0.7,14.5,2.4,0.3,10,0.7,150,1.5,unit,1.5
Raspberry,52,1.2,11.9,6.5,0.7,4.4,1.2,100,4,unit,4
Blackberry,43,1.4,9.6,5.3,0.5,4.9,1.4,100,5,unit,5
Cranberry,46,0.4,12.2,4.6,0.1,4,0.4,100,10,unit,10
Cape Gooseberry,53,1.9,11.2,1.9,0.7,6.9,1.9,15,15,unit,15
Rasbhari,53,1.9,11.2,1.9,0.7,6.9,1.9,15,15,unit,15
Dragon Fruit,50,1.1,11,3,0.1,8,1.1,300,300,unit,300
Avocado,160,2,8.5,6.7,14.7,0.7,2,200,200,unit,200
Kiwi Berry,52,1.2,13,3.8,0.9,8.6,1.2,18,18,unit,18
Mulberry,43,1.4,9.8,1.7,0.4,8.1,1.4,100,10,unit,10
Shahatoot,43,1.4,9.8,1.7,0.4,8.1,1.4,100,10,unit,10
Cherry,50,1,12.2,1.6,0.3,8.5,1,80,8,unit,8
Pineapple,50,0.5,13.1,1.4,0.1,9.9,0.5,150,150,unit,150
Apricot,48,1.4,11.1,2,0.4,9.2,1.4,35,35,unit,35
Nectarine,44,1.1,10.6,1.7,0.3,7.9,1.1,150,150,unit,150
Cantaloupe,34,0.8,8.2,0.9,0.2,7.9,0.8,160,160,unit,160
Honeydew Melon,36,0.5,9.1,0.8,0.1,8.1,0.5,180,180,unit,180
Pomelo,38,0.8,9.6,1,0,7,0.8,300,300,unit,300
Durian,147,1.5,27.1,3.8,5.3,19,1.5,200,200,unit,200
Fig,74,0.8,19.2,2.9,0.3,16.3,0.8,50,50,unit,50
Tangerine,53,0.8,13.3,1.8,0.3,10.6,0.8,100,100,unit,100
Clementine,47,0.9,12,1.7,0.1,9.2,0.9,85,85,unit,85
Persimmon,70,0.6,18.6,3.6,0.2,12.5,0.6,170,170,unit,170
Starfruit,31,1,6.7,2.8,0.3,3.9,1,90,90,unit,90
Soursop,66,1,16.8,3.3,0.3,13.5,1,200,200,unit,200
